"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0017840","25050",16,0,1,"04",13700
"0017849","25080",19,0,2,"04",4400
"0018002","25030",0,1,1,"  ",0
"0018092","25010",16,0,2,"02",35004
"0018149","25130",13,0,3,"02",28350
"0018265","25040",19,0,4,"06",57800
"0018307","25060",24,0,4,"06",28500
"0018389","25050",0,2,1,"  ",0
"0018393","25090",16,0,3,"07",11700
"0018434","25010",3,0,1,"02",25000
"0018466","25090",21,0,3,"05",22300
"0018546","25010",27,0,1,"02",27100
"0018661","25020",21,0,2,"02",183300
"0018728","25070",22,0,2,"02",41500
"0018840","25040",19,0,3,"02",20200
"0018848","25040",21,0,1,"05",50000
"0018869","25060",19,0,2,"02",25860
"0018892","25130",24,0,1,"05",7000
"0019037","25050",11,0,6,"02",63100
"0019063","25130",13,0,3,"02",82000
"0019116","25120",24,0,1,"01",18330
"0019118","25120",22,0,2,"02",89210
"0019121","25120",19,0,3,"02",89500
"0019167","25110",18,0,4,"06",114370
"0019212","25030",14,0,5,"02",111000
"0019233","25030",19,0,1,"09",8600
"0019249","25060",8,0,4,"02",73140
"0019260","25120",13,0,5,"02",94530
"0019331","25130",19,0,5,"02",35000
"0019367","25090",18,0,4,"04",15000
"0019396","25080",26,0,2,"05",43200
"0019439","25070",16,0,4,"02",52190
"0019620","25050",25,0,4,"02",204000
"0019664","25100",14,0,2,"02",2e+05
"0019674","25010",19,0,2,"07",29800
"0019757","25060",21,0,1,"09",7200
"0020084","25030",27,0,2,"06",48100
"0020137","25090",27,0,2,"04",45000
"0020147","25080",17,0,1,"09",29000
"0020244","25010",22,0,5,"06",36000
"0020297","25010",13,0,5,"02",120300
"0020325","25100",22,0,4,"02",392200
"0020462","25050",22,0,2,"02",205000
"0020464","25120",19,0,0,"02",0
"0020561","25050",0,2,1,"  ",0
"0020683","25010",3,0,6,"02",48420
"0020690","25130",21,0,3,"02",99000
"0020712","25050",19,0,5,"02",89420
"0020799","25010",13,0,2,"04",20410
"0020835","25110",13,0,2,"02",96480
"0020893","25040",19,0,2,"02",36500
"0020992","25120",31,0,0,"02",0
"0021072","25100",0,2,1,"  ",0
"0021136","25020",22,0,1,"02",159800
"0021200","25110",19,0,2,"02",63000
"0021270","25120",18,0,0,"02",0
"0021393","25030",24,0,5,"02",57000
"0021402","25110",19,0,4,"02",59000
"0021428","25050",17,0,2,"02",154600
"0021566","25110",0,1,1,"  ",0
"0021627","25060",40,0,0,"05",0
"0021663","25100",27,0,4,"02",110500
"0021803","25030",19,0,4,"02",123200
"0021874","25090",16,0,3,"02",0
"0021880","25060",37,0,0,"02",0
"0022204","25090",16,0,3,"04",107400
"0022242","25060",19,0,4,"02",73120
"0022344","25090",18,0,1,"06",87300
"0022560","25070",22,0,2,"02",27600
"0022697","25030",22,0,2,"02",39400
"0022723","25120",40,0,2,"04",9200
"0022745","25090",29,0,1,"07",13000
"0022755","25030",18,0,5,"04",85700
"0022912","25030",22,0,2,"02",133000
"0022917","25020",21,0,1,"02",32200
"0022961","25080",27,0,3,"04",17200
"0023121","25010",6,0,0,"02",0
"0023136","25020",16,0,2,"02",27200
"0023180","25040",24,0,1,"07",35570
"0023372","25090",21,0,3,"05",14600
"0023384","25060",19,0,1,"05",17400
"0023463","25080",13,0,2,"04",356000
"0023490","25090",38,0,4,"04",10000
"0023570","25070",24,0,3,"02",49140
"0023670","25050",17,0,4,"02",53300
"0023709","25030",16,0,2,"04",165400
"0023778","25010",5,0,2,"02",37010
"0023849","25120",24,0,2,"02",71720
"0023869","25020",16,0,5,"02",77100
"0023935","25110",24,0,2,"02",109000
"0023980","25050",16,0,9,"02",123850
"0024095","25010",19,0,1,"02",36200
"0024125","25110",19,0,1,"07",35400
"0024214","25010",6,0,0,"02",0
"0024217","25010",27,0,1,"05",29900
"0024265","25110",13,0,0,"05",0
"0024327","25110",19,0,5,"05",54000
"0024347","25050",24,0,2,"04",111000
"0024464","25100",19,0,3,"04",64800
"0024466","25120",14,0,2,"02",61500
"0024498","25010",6,0,4,"02",50600
"0024552","25120",22,0,0,"02",0
"0024623","25090",16,0,4,"05",44000
"0024732","25120",21,0,3,"02",88040
"0024744","25010",11,0,2,"02",62500
"0024896","25020",22,0,1,"06",10800
"0024921","25120",15,0,0,"02",0
"0025020","25130",27,0,2,"02",26400
"0025102","25100",22,0,3,"02",65000
"0025181","25120",19,0,2,"03",45700
"0025306","25010",13,0,2,"02",42400
"0025357","25080",18,0,1,"06",50000
"0025384","25100",22,0,5,"02",115020
"0025414","25090",41,0,3,"08",2500
"0025473","25040",30,0,2,"05",48810
"0025535","25120",14,0,2,"02",68000
"0025537","25090",16,0,2,"04",60000
"0025543","25060",21,0,2,"02",202400
"0025569","25030",21,0,4,"02",152550
"0025577","25050",27,0,3,"03",107000
"0025596","25050",22,0,1,"02",10300
"0025683","25130",21,0,2,"04",15900
"0025784","25020",13,0,2,"02",101000
"0025873","25130",16,0,2,"02",175700
"0025891","25120",24,0,1,"01",21800
"0025929","25110",0,2,1,"  ",0
"0026059","25070",0,1,1,"  ",0
"0026152","25010",6,0,6,"02",80000
"0026174","25010",4,0,0,"02",0
"0026191","25120",18,0,0,"03",0
"0026197","25130",21,0,2,"02",117000
"0026233","25110",18,0,2,"04",29500
"0026270","25010",22,0,1,"02",70000
"0026290","25050",19,0,5,"02",47400
"0026321","25110",27,0,4,"02",57700
"0026365","25020",16,0,4,"02",127600
"0026379","25040",21,0,2,"02",68700
"0026388","25070",32,0,4,"09",47000
"0026412","25080",24,0,1,"06",42000
"0026440","25110",16,0,5,"02",46000
"0026550","25080",24,0,3,"05",79000
"0026560","25010",6,0,7,"01",23800
"0026654","25010",5,0,1,"02",18000
"0026760","25130",31,0,0,"02",0
"0026822","25130",19,0,4,"04",38600
