SERIALNO,AGE,WRKLYR,INCTOT
2006000346439,45,1,26740.8372
2006000346439,29,1,18183.7693
2006000348646,35,1,20628.64584
2006000348655,44,1,19100.598
2006000350031,79,2,6417.800928
2006000354754,60,2,9473.896608
2006000354754,39,1,19864.62192
2006000356539,80,2,62879.16862
2006000356539,79,2,7059.581021
2006000359072,60,2,0
2006000359459,26,1,19100.598
2006000359459,24,1,7640.2392
2006000359459,20,1,229.207176
2006000360362,65,1,13981.63774
2006000360362,60,1,18336.57408
2006000360631,36,2,9168.28704
2006000360631,4,0,-15279.71438
2006000367997,48,1,19100.598
2006000367997,13,0,NA
2006000369432,42,1,66088.06908
2006000371008,58,1,21392.66976
2006000371281,27,1,39882.04862
2006000375339,77,2,5500.972224
2006000375339,33,2,1833.657408
2006000378742,23,1,4966.15548
2006000378742,28,1,3667.314816
2006000378742,25,1,8404.26312
2006000379748,43,1,22920.7176
2006000379748,39,1,15280.4784
2006000379748,19,1,12988.40664
2006000379748,17,1,17572.55016
2006000379748,18,2,5500.972224
2006000381599,35,1,45077.41128
2006000381599,34,1,11460.3588
2006000381599,4,0,-15279.71438
2006000381599,3,0,-15279.71438
2006000383629,45,2,687.621528
2006000383629,56,2,13874.67439
2006000383708,45,1,6112.19136
2006000383708,47,1,30560.9568
2006000383708,1,0,NA
2006000386121,60,1,106199.3249
2006000386121,59,1,53481.6744
2006000388482,53,1,58142.22031
2006000388482,52,1,37360.76969
2006000394349,94,2,9932.31096
2006000395775,22,1,4087.527972
2006000395775,21,1,5348.16744
2006000396804,59,1,24448.76544
2006000396804,55,2,0
2006000396928,41,1,22920.7176
2006000396928,16,2,0
2006000400555,33,1,13523.22338
2006000401857,37,1,21087.06019
2006000401857,16,1,382.01196
2006000401857,31,1,12224.38272
2006000404351,29,1,13752.43056
2006000404351,31,1,12835.60186
2006000406614,52,1,35145.10032
2006000406614,47,2,14592.85687
2006000406614,23,2,5500.972224
2006000406859,38,1,30560.9568
2006000406859,30,1,30560.9568
2006000406859,2,0,-15279.71438
2006000411688,73,1,32776.62617
2006000411688,66,2,3285.302856
2006000412566,40,2,3132.498072
2006000416410,57,1,32089.00464
2006000416410,65,1,20628.64584
2006000419256,52,1,45841.4352
2006000421132,51,1,17725.35494
2006000421219,33,1,64942.0332
2006000421219,31,1,53481.6744
2006000421742,39,1,16808.52624
2006000421742,19,2,3820.1196
2006000422077,81,2,10925.54206
2006000426456,55,1,36673.14816
2006000426456,45,1,14516.45448
2006000426836,25,1,13370.4186
2006000426836,23,1,6876.21528
2006000426836,23,1,7640.2392
2006000429948,42,1,129884.0664
2006000429948,48,1,171141.3581
2006000430138,52,1,27504.86112
2006000430340,66,2,6188.593752
2006000431326,37,1,20170.23149
2006000431326,36,2,0
2006000431326,14,0,NA
2006000431326,8,0,-15279.71438
2006000431326,0,0,NA
2006000431326,52,1,20246.63388
2006000431508,52,1,12988.40664
2006000431508,56,1,1528.04784
2006000431508,21,1,634.1398536
2006000431633,33,1,29109.31135
2006000431633,38,1,67998.12888
2006000431633,2,0,-15279.71438
2006000439694,55,1,7793.043984
2006000439694,50,2,0
2006000439694,16,1,611.219136
2006000440051,42,1,30560.9568
2006000440554,24,1,22920.7176
2006000440554,24,1,11460.3588
2006000440721,41,1,16808.52624
2006000440721,30,2,0
2006000443588,40,1,26167.81926
2006000443588,47,1,19291.60398
2006000443885,31,1,16808.52624
2006000443885,45,1,11460.3588
2006000443885,6,0,-15279.71438
2006000443885,0,0,NA
2006000445131,39,2,3598.552663
2006000445131,40,1,75714.77047
2006000445131,4,0,-15279.71438
2006000446067,47,1,15280.4784
2006000446067,48,1,30560.9568
2006000446650,35,1,76402.392
2006000446650,33,1,39729.24384
2006000447161,60,2,8832.116515
2006000447446,59,2,19100.598
2006000451570,36,2,4278.533952
2006000451570,9,0,-15279.71438
2006000451570,0,0,NA
2006000455054,48,1,6876.21528
2006000455054,9,0,-15279.71438
2006000458539,27,1,12988.40664
2006000458539,5,0,-15279.71438
2006000458539,26,2,6952.617672
2006000458539,31,1,15280.4784
2006000463263,49,1,38201.196
2006000463314,44,2,15127.67362
2006000463314,14,0,NA
2006000463314,13,0,NA
2006000463314,12,0,NA
2006000463314,11,0,NA
2006000463875,30,1,11460.3588
2006000463875,25,1,34381.0764
2006000463875,29,1,11460.3588
2006000463908,61,1,37437.17208
2006000463908,18,1,6570.605712
2006000464185,23,1,25518.39893
2006000464185,21,1,3667.314816
2006000466498,28,1,131412.1142
2006000468015,86,2,11689.56598
2006000469309,43,1,60816.30403
2006000469309,48,1,5730.1794
2006000469309,10,0,NA
2006000469309,7,0,-15279.71438
2006000471129,51,2,5500.972224
2006000472117,55,1,38201.196
2006000472948,72,2,28727.29939
2006000472948,63,1,27504.86112
2006000474052,37,1,51189.60264
2006000475418,71,2,15662.49036
2006000478480,40,1,95502.99
2006000478480,15,0,0
2006000478480,15,0,0
2006000478480,56,1,4507.741128
2006000478480,46,2,0
2006000481104,35,1,8404.26312
2006000482801,44,1,4736.948304
2006000483265,45,1,71283.43174
2006000486934,17,1,8495.94599
2006000488395,65,1,45841.4352
2006000488419,64,2,19100.598
2006000488419,63,2,4584.14352
2006000488419,27,1,1680.852624
2006000489578,54,1,15280.4784
2006000492047,41,1,36673.14816
2006000492047,42,1,20628.64584
2006000492047,15,0,0
2006000493089,27,1,25212.78936
2006000493969,38,1,84042.6312
2006000493969,10,0,NA
2006000494750,48,1,76402.392
2006000494750,48,1,32089.00464
2006000494750,94,2,0
2006000494750,90,2,7181.824848
2006000494750,85,2,0
2006000494750,75,2,15738.89275
2006000496897,38,1,15280.4784
2006000496897,36,1,8404.26312
2006000496897,16,2,0
2006000496897,3,0,-15279.71438
2006000496897,0,0,NA
2006000501158,53,1,24601.57022
2006000501158,49,1,21545.47454
2006000501158,21,1,9168.28704
2006000501158,15,0,0
2006000502355,25,1,8404.26312
2006000502355,26,1,26740.8372
2006000502355,7,0,-15279.71438
2006000511066,46,1,22920.7176
2006000514348,45,1,2139.266976
2006000514999,40,1,22920.7176
2006000515380,46,2,0
2006000515577,71,2,17496.14777
2006000515577,30,1,19100.598
2006000515577,27,1,19100.598
2006000515577,21,1,6876.21528
2006000519961,28,1,22920.7176
2006000519961,21,1,11460.3588
2006000523927,28,1,8251.458336
2006000523927,8,0,-15279.71438
2006000523927,2,0,-15279.71438
2006000523927,27,2,0
2006000523966,31,1,13752.43056
2006000523966,31,1,44313.38736
2006000524520,34,2,0
2006000524520,35,1,19100.598
2006000524520,6,0,-15279.71438
2006000524520,1,0,NA
2006000526601,58,1,61121.9136
2006000526601,54,1,26740.8372
2006000526868,56,1,16044.50232
2006000526868,50,1,14516.45448
2006000526868,27,1,27504.86112
2006000526868,26,1,19100.598
2006000526868,21,1,16732.12385
2006000526868,75,2,0
2006000527141,63,1,51266.00503
2006000528759,59,1,52725.29072
2006000528759,60,1,26588.03242
2006000528759,28,2,0
2006000531714,55,1,51189.60264
2006000533968,29,1,10696.33488
2006000534416,89,2,17190.5382
2006000534416,84,2,3820.1196
2006000534639,37,1,19482.60996
2006000534639,45,1,6112.19136
2006000534907,28,1,20277.19484
2006000534907,37,1,152.804784
2006000535589,49,1,9932.31096
2006000535589,26,1,7640.2392
2006000535589,26,1,39118.0247
2006000538673,64,2,29644.1281
2006000539181,39,1,32089.00464
2006000539335,36,1,27504.86112
2006000539701,30,1,12086.85841
2006000539701,32,1,24754.37501
2006000548119,40,2,0
2006000548119,40,1,15280.4784
2006000549904,48,2,9168.28704
2006000550160,22,2,0
2006000550160,22,2,0
2006000550160,21,2,0
2006000555462,23,1,19864.62192
2006000555462,23,1,5348.16744
2006000556947,45,1,45841.4352
2006000556947,45,2,0
2006000556947,14,0,NA
2006000556947,4,0,-15279.71438
