geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_21_control,hh_inc_21_42_control,hh_inc_42_85_control,hh_inc_85_plus_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,hh_by_type_sf_control,hh_by_type_mf_control,hh_by_type_mh_control,hh_by_type_dup_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,avg_percap_inc_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_21_result,hh_inc_21_42_result,hh_inc_42_85_result,hh_inc_85_plus_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,hh_by_type_sf_result,hh_by_type_mf_result,hh_by_type_mh_result,hh_by_type_dup_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,avg_percap_inc_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_21_diff,hh_inc_21_42_diff,hh_inc_42_85_diff,hh_inc_85_plus_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff,hh_by_type_sf_diff,hh_by_type_mf_diff,hh_by_type_mh_diff,hh_by_type_dup_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff,avg_percap_inc_diff
TRACT,41029001701,911,222,347,180,162,109,243,232,327,1410,964,313,233,960,310,340,31,2186,1843,1,0,288,0,0,54,232,258,271,694,302,429,26731,911.0,217.0,340.0,182.0,172.0,446.0,340.0,102.0,23.0,518.0,268.0,102.0,23.0,0.0,0.0,0.0,0.0,2256.0,2051.0,0.0,0.0,102.0,0.0,0.0,103.0,725.0,183.0,230.0,589.0,258.0,271.0,-422175.1925400011,0.0,-5.0,-7.0,2.0,10.0,337.0,97.0,-130.0,-304.0,-892.0,-696.0,-211.0,-210.0,-960.0,-310.0,-340.0,-31.0,70.0,208.0,-1.0,0.0,-186.0,0.0,0.0,49.0,493.0,-75.0,-41.0,-105.0,-44.0,-158.0,-448906.1925400011
TRACT,41029001702,2085,872,791,163,259,456,781,500,348,1818,1084,807,52,1056,389,470,226,4502,4282,9,3,36,0,42,130,585,170,1129,1136,624,858,48821,2085.0,851.0,783.0,166.0,285.0,1071.0,828.0,170.0,16.0,1135.0,550.0,381.0,19.0,0.0,0.0,0.0,0.0,4543.0,4291.0,12.0,5.0,62.0,0.0,49.0,124.0,1412.0,121.0,949.0,925.0,537.0,596.0,-651965.6259590015,0.0,-21.0,-8.0,3.0,26.0,615.0,47.0,-330.0,-332.0,-683.0,-534.0,-426.0,-33.0,-1056.0,-389.0,-470.0,-226.0,41.0,9.0,3.0,2.0,26.0,0.0,7.0,-6.0,827.0,-49.0,-180.0,-211.0,-87.0,-262.0,-700786.6259590015
TRACT,41029001801,1451,518,540,202,191,351,521,185,394,1626,1282,1007,88,1283,660,425,62,2876,2480,53,40,0,0,36,267,524,126,668,589,379,590,60206,1451.0,514.0,535.0,204.0,198.0,747.0,596.0,80.0,28.0,670.0,442.0,314.0,25.0,0.0,0.0,0.0,0.0,3072.0,2630.0,69.0,68.0,0.0,0.0,45.0,260.0,1039.0,99.0,621.0,511.0,347.0,446.0,-404285.312152002,0.0,-4.0,-5.0,2.0,7.0,396.0,75.0,-105.0,-366.0,-956.0,-840.0,-693.0,-63.0,-1283.0,-660.0,-425.0,-62.0,196.0,150.0,16.0,28.0,0.0,0.0,9.0,-7.0,515.0,-27.0,-47.0,-78.0,-32.0,-144.0,-464491.312152002
TRACT,41029001802,1236,479,457,174,126,94,306,313,523,1482,1154,830,28,1852,111,61,50,2471,2395,0,0,76,0,0,0,282,103,102,619,541,824,97065,1236.0,474.0,454.0,172.0,136.0,543.0,570.0,116.0,7.0,613.0,367.0,249.0,7.0,0.0,0.0,0.0,0.0,2580.0,2578.0,0.0,0.0,2.0,0.0,0.0,0.0,892.0,69.0,126.0,540.0,429.0,524.0,117830.88021699991,0.0,-5.0,-3.0,-2.0,10.0,449.0,264.0,-197.0,-516.0,-869.0,-787.0,-581.0,-21.0,-1852.0,-111.0,-61.0,-50.0,109.0,183.0,0.0,0.0,-74.0,0.0,0.0,0.0,610.0,-34.0,24.0,-79.0,-112.0,-300.0,20765.88021699991
TRACT,41029001900,1145,492,351,134,168,351,370,204,220,610,1074,363,109,647,465,8,166,3164,2684,73,40,98,0,14,255,281,589,818,793,196,487,47533,1145.0,463.0,349.0,138.0,195.0,707.0,344.0,69.0,25.0,375.0,541.0,199.0,30.0,0.0,0.0,0.0,0.0,2765.0,2298.0,76.0,54.0,101.0,0.0,27.0,209.0,751.0,380.0,613.0,565.0,152.0,304.0,-895425.1397489998,0.0,-29.0,-2.0,4.0,27.0,356.0,-26.0,-135.0,-195.0,-235.0,-533.0,-164.0,-79.0,-647.0,-465.0,-8.0,-166.0,-399.0,-386.0,3.0,14.0,3.0,0.0,13.0,-46.0,470.0,-209.0,-205.0,-228.0,-44.0,-183.0,-942958.1397489998
TRACT,41029002000,1098,509,405,90,94,237,284,123,454,734,744,408,80,906,301,0,112,2101,1857,0,0,10,0,0,234,117,90,419,728,409,338,94878,1098.0,503.0,403.0,92.0,100.0,770.0,282.0,29.0,17.0,492.0,393.0,196.0,17.0,0.0,0.0,0.0,0.0,2130.0,1908.0,0.0,0.0,16.0,0.0,0.0,206.0,445.0,68.0,373.0,633.0,369.0,242.0,106375.24698199984,0.0,-6.0,-2.0,2.0,6.0,533.0,-2.0,-94.0,-437.0,-242.0,-351.0,-212.0,-63.0,-906.0,-301.0,0.0,-112.0,29.0,51.0,0.0,0.0,6.0,0.0,0.0,-28.0,328.0,-22.0,-46.0,-95.0,-40.0,-96.0,11497.246981999837
TRACT,41029002100,1653,621,781,89,162,291,274,364,724,1338,1204,451,108,1434,434,0,158,3284,3014,44,17,122,0,25,62,252,65,375,700,878,1014,171877,1653.0,613.0,775.0,91.0,174.0,1133.0,373.0,120.0,27.0,836.0,591.0,199.0,27.0,0.0,0.0,0.0,0.0,3388.0,3058.0,53.0,30.0,121.0,0.0,35.0,91.0,810.0,57.0,343.0,627.0,813.0,738.0,149967.12851100042,0.0,-8.0,-6.0,2.0,12.0,842.0,99.0,-244.0,-697.0,-502.0,-613.0,-252.0,-81.0,-1434.0,-434.0,0.0,-158.0,104.0,44.0,9.0,13.0,-1.0,0.0,10.0,29.0,558.0,-8.0,-32.0,-73.0,-65.0,-276.0,-21909.871488999575
TRACT,41029002200,2266,788,1000,263,215,256,502,368,1140,1892,1692,500,167,2075,268,86,14,4672,4509,1,0,43,57,0,62,420,287,609,1182,758,1416,230402,2266.0,775.0,990.0,269.0,232.0,1265.0,823.0,143.0,35.0,1177.0,820.0,220.0,49.0,0.0,0.0,0.0,0.0,4858.0,4680.0,0.0,0.0,67.0,49.0,0.0,62.0,1375.0,214.0,541.0,1029.0,683.0,981.0,148823.8346539978,0.0,-13.0,-10.0,6.0,17.0,1009.0,321.0,-225.0,-1105.0,-715.0,-872.0,-280.0,-118.0,-2075.0,-268.0,-86.0,-14.0,186.0,171.0,-1.0,0.0,24.0,-8.0,0.0,0.0,955.0,-73.0,-68.0,-153.0,-75.0,-435.0,-81578.1653460022
TRACT,41029002300,668,126,308,133,101,55,172,126,315,520,474,209,68,690,2,66,5,1642,1499,0,39,0,0,2,102,178,149,55,408,365,487,92218,668.0,124.0,305.0,133.0,106.0,272.0,319.0,61.0,16.0,337.0,225.0,90.0,16.0,0.0,0.0,0.0,0.0,1759.0,1593.0,0.0,66.0,0.0,0.0,2.0,98.0,563.0,116.0,55.0,375.0,332.0,318.0,37735.287650000304,0.0,-2.0,-3.0,0.0,5.0,217.0,147.0,-65.0,-299.0,-183.0,-249.0,-119.0,-52.0,-690.0,-2.0,-66.0,-5.0,117.0,94.0,0.0,27.0,0.0,0.0,0.0,-4.0,385.0,-33.0,0.0,-33.0,-33.0,-169.0,-54482.712349999696
TRACT,41029002400,572,132,268,93,79,91,120,114,247,414,372,161,87,584,6,101,6,1800,1350,13,0,22,0,406,9,166,129,105,361,301,738,80981,572.0,119.0,254.0,94.0,105.0,315.0,193.0,61.0,3.0,280.0,163.0,83.0,46.0,0.0,0.0,0.0,0.0,1530.0,1243.0,14.0,0.0,14.0,0.0,245.0,14.0,397.0,71.0,81.0,295.0,220.0,420.0,72976.23567600129,0.0,-13.0,-14.0,1.0,26.0,224.0,73.0,-53.0,-244.0,-134.0,-209.0,-78.0,-41.0,-584.0,-6.0,-101.0,-6.0,-270.0,-107.0,1.0,0.0,-8.0,0.0,-161.0,5.0,231.0,-58.0,-24.0,-66.0,-81.0,-318.0,-8004.764323998708
TRACT,41029002500,670,79,339,114,138,31,73,167,399,528,556,494,115,1041,4,169,0,1735,1573,132,6,16,0,0,8,135,98,167,505,572,258,103025,670.0,76.0,331.0,115.0,148.0,320.0,225.0,109.0,16.0,298.0,218.0,138.0,16.0,0.0,0.0,0.0,0.0,1819.0,1645.0,138.0,8.0,17.0,0.0,0.0,11.0,566.0,82.0,142.0,413.0,455.0,161.0,102061.98804599978,0.0,-3.0,-8.0,1.0,10.0,289.0,152.0,-58.0,-383.0,-230.0,-338.0,-356.0,-99.0,-1041.0,-4.0,-169.0,0.0,84.0,72.0,6.0,2.0,1.0,0.0,0.0,3.0,431.0,-16.0,-25.0,-92.0,-117.0,-97.0,-963.0119540002197
TRACT,41029003001,371,31,209,38,93,57,100,64,150,1602,980,605,73,1322,16,678,0,1030,1013,0,0,17,0,0,0,231,62,73,282,145,237,25344,371.0,29.0,203.0,39.0,100.0,165.0,151.0,39.0,16.0,192.0,108.0,62.0,9.0,0.0,0.0,0.0,0.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,42.0,75.0,233.0,116.0,171.0,-124910.26947600069,0.0,-2.0,-6.0,1.0,7.0,108.0,51.0,-25.0,-134.0,-1410.0,-872.0,-543.0,-64.0,-1322.0,-16.0,-678.0,0.0,-69.0,-52.0,0.0,0.0,-17.0,0.0,0.0,0.0,93.0,-20.0,2.0,-49.0,-29.0,-66.0,-150254.26947600069
