SERIALNO,hhnum,PUMA,REGION,NP,NW,HHINCADJ,WGTP,HTYPE
2016001064081,27399,00100,1,2,2,159943.901,4,SF
2016001064178,27400,01321,1,2,1,56409.74495,48,SF
2016001064197,27401,00200,1,5,1,136757.4026,27,SF
2016001064286,27402,00703,1,2,2,121192.3921,15,SF
2016001064335,27403,00500,1,5,1,96610.41,13,SF
2016001064632,27404,01320,1,5,3,84802.471,12,SF
2016001064642,27405,01314,1,2,2,169604.942,11,SF
2016001064697,27406,00100,1,3,2,49593.3438,22,SF
2016001064773,27407,01105,1,1,0,26514.1903,21,SF
2016001064809,27408,01318,1,2,1,75141.43,12,SF
2016001064827,27409,00500,1,3,3,91672.5446,5,SF
2016001064888,27410,01317,1,2,2,125808.2228,14,SF
2016001065246,27411,01314,1,5,1,764295.688,7,SF
2016001065275,27412,00902,1,2,0,92745.9936,9,SF
2016001065349,27413,00500,1,1,0,13525.4574,9,MH
2016001065396,27414,01318,1,2,0,82118.8485,13,SF
2016001065636,27415,00500,1,3,2,91457.8548,7,DUP
2016001065653,27416,01320,1,2,2,78576.4668,7,MF
2016001065906,27417,00600,1,4,0,23186.4984,4,SF
2016001066190,27418,00800,1,2,0,34565.0578,17,SF
2016001066415,27419,01316,1,3,2,19751.4616,21,MF
2016001066734,27420,00100,1,6,1,81582.124,27,SF
2016001066800,27421,01301,1,1,1,46158.307,15,SF
2016001066907,27422,00200,1,3,2,64406.94,17,SF
2016001066967,27423,01318,1,4,2,130960.778,11,SF
2016001067078,27424,00300,1,2,0,16960.4942,9,SF
2016001067229,27425,00704,1,1,0,2146.898,18,MF
2016001067327,27426,01303,1,4,2,137455.14445,24,SF
2016001067357,27427,00300,1,1,0,39932.3028,66,SF
2016001067636,27428,00300,1,3,1,77288.328,4,SF
2016001067717,27429,01323,1,2,2,17604.5636,22,SF
2016001067871,27430,01324,1,1,1,30378.6067,11,MF
2016001068003,27431,00500,1,1,1,37570.715,4,SF
2016001068018,27432,00500,1,1,1,97844.87635,8,SF
2016001068231,27433,01318,1,2,1,102514.3795,25,SF
2016001068421,27434,01320,1,2,1,112390.1103,8,SF
2016001068665,27435,00703,1,2,0,19107.3922,21,SF
2016001068707,27436,01316,1,7,2,83192.2975,36,SF
2016001068801,27437,00705,1,1,1,88130.1629,10,MH
2016001068842,27438,00703,1,2,0,70632.9442,12,SF
2016001069212,27439,00800,1,1,1,63687.72917,28,SF
2016001069575,27440,00705,1,2,1,27694.9842,34,SF
2016001069728,27441,00400,1,2,2,293051.577,9,SF
2016001069813,27442,00705,1,3,2,44011.409,15,SF
2016001069937,27443,00703,1,2,1,14706.2513,12,SF
2016001069955,27444,00800,1,2,2,67197.9074,14,SF
2016001070004,27445,01316,1,1,1,64406.94,27,MF
2016001070073,27446,00703,1,2,0,58137.99784,19,SF
2016001070114,27447,00703,1,5,2,265141.903,13,SF
2016001070118,27448,01314,1,1,0,52384.3112,21,MF
2016001070125,27449,01105,1,2,0,50559.4479,22,SF
2016001070235,27450,01320,1,2,2,138474.921,14,SF
2016001070307,27451,01320,1,1,0,47661.1356,7,SF
2016001070417,27452,00600,1,1,0,33062.2292,16,MH
2016001070630,27453,00600,1,1,0,25548.0862,1,SF
2016001070662,27454,00704,1,2,0,0,12,MF
2016001070664,27455,01200,1,5,3,103802.5183,10,SF
2016001070686,27456,01000,1,2,2,129028.5698,3,SF
2016001070689,27457,01322,1,4,2,187853.575,22,SF
2016001070704,27458,01323,1,4,1,10734.49,16,SF
2016001070883,27459,00600,1,4,1,68164.0115,32,SF
2016001071018,27460,01104,1,2,2,39288.2334,15,MF
2016001071086,27461,01322,1,3,2,122158.4962,26,SF
2016001071313,27462,01323,1,1,0,28553.7434,12,SF
2016001071496,27463,01320,1,1,1,62292.24547,23,SF
2016001071669,27464,00500,1,1,1,53672.45,7,SF
2016001071713,27465,00703,1,1,0,0,17,SF
2016001071773,27466,01320,1,4,3,79864.6056,25,SF
2016001071827,27467,01324,1,3,3,115825.1471,15,MF
2016001071962,27468,01302,1,3,0,0,16,SF
2016001072014,27469,00705,1,1,1,51525.552,23,DUP
2016001072077,27470,01000,1,4,2,75141.43,12,SF
2016001072208,27471,01104,1,3,2,173383.48248,10,SF
2016001072488,27472,01104,1,1,1,79703.58825,13,SF
2016001072699,27473,00600,1,3,1,40469.0273,5,SF
2016001072749,27474,01200,1,6,3,103501.95258,5,SF
2016001072775,27475,01000,1,1,0,53468.49469,4,SF
2016001072801,27476,00800,1,2,0,26084.8107,10,SF
2016001072860,27477,01317,1,1,0,31065.61406,16,SF
2016001072966,27478,00600,1,2,0,55389.9684,4,MH
2016001073146,27479,01200,1,2,1,91243.165,29,SF
2016001073173,27480,00100,1,1,0,12881.388,7,SF
2016001073361,27481,01000,1,5,3,41971.8559,24,MH
2016001073448,27482,00705,1,2,0,61508.6277,13,SF
2016001073688,27483,01322,1,4,4,148790.76589,15,SF
2016001073777,27484,00703,1,1,1,17175.184,62,SF
2016001073869,27485,00800,1,2,1,59039.695,28,SF
2016001074036,27486,00100,1,3,1,40791.062,29,MH
2016001074158,27487,01317,1,3,3,62260.042,20,SF
2016001074336,27488,01302,1,2,2,1674.58044,11,SF
2016001074337,27489,00300,1,2,0,4186.4511,24,MF
2016001074369,27490,01200,1,3,1,48090.5152,47,SF
2016001074554,27491,01323,1,5,1,51525.552,23,SF
2016001074588,27492,01316,1,1,1,10841.8349,35,MF
2016001074599,27493,00704,1,2,2,177119.085,14,SF
2016001074740,27494,00902,1,1,0,159943.901,31,SF
2016001074745,27495,01324,1,2,1,135361.9189,20,SF
2016001074803,27496,00600,1,1,1,16101.735,99,MF
2016001074913,27497,01104,1,2,0,96825.0998,15,SF
2016001075137,27498,01320,1,2,2,100904.206,13,MF
2016001075301,27499,01314,1,2,1,10734.49,13,MF
2016001075390,27500,00500,1,1,0,12881.388,15,MF
2016001075499,27501,00901,1,1,0,29627.1924,13,SF
2016001075648,27502,00901,1,2,0,38322.1293,11,MH
2016001075675,27503,01324,1,2,1,47231.756,13,SF
2016001075678,27504,01322,1,2,2,118079.39,74,SF
2016001075830,27505,01320,1,4,2,145881.7191,24,SF
2016001075957,27506,00705,1,4,2,113785.594,42,SF
2016001075969,27507,00400,1,1,1,60435.1787,28,SF
2016001076027,27508,00902,1,4,0,16101.735,21,MH
2016001076103,27509,01322,1,4,3,103051.104,13,SF
2016001076698,27510,00200,1,2,1,91457.8548,4,MH
2016001076756,27511,01321,1,1,1,47446.4458,5,SF
2016001076787,27512,00901,1,3,2,21468.98,38,SF
2016001076804,27513,01303,1,1,0,19858.8065,14,SF
2016001076904,27514,01314,1,3,1,192147.371,9,SF
2016001076946,27515,00300,1,4,2,47231.756,6,MH
2016001077090,27516,00901,1,3,1,12237.3186,24,SF
2016001077309,27517,00500,1,6,2,53779.7949,31,SF
2016001077351,27518,00200,1,2,2,70847.634,16,SF
2016001077422,27519,00600,1,5,2,103480.4836,85,SF
2016001077582,27520,01323,1,1,0,23293.8433,14,MF
2016001077679,27521,00500,1,1,0,6655.3838,12,SF
2016001077711,27522,01200,1,3,0,73960.6361,18,SF
2016001078089,27523,00800,1,2,0,14169.5268,11,MH
2016001078185,27524,01323,1,4,3,119152.839,14,SF
2016001078200,27525,01000,1,2,0,103587.8285,57,SF
2016001078278,27526,01324,1,6,4,136188.47463,12,SF
2016001078287,27527,00600,1,2,0,108418.349,4,SF
2016001078313,27528,00600,1,2,2,39073.5436,30,MF
2016001078327,27529,00800,1,1,0,20610.2208,19,SF
2016001078333,27530,01301,1,2,0,143842.166,13,SF
2016001078334,27531,01322,1,2,1,107344.9,8,SF
2016001078345,27532,00901,1,1,0,11271.2145,15,DUP
2016001078390,27533,00300,1,4,0,0,17,SF
2016001078750,27534,00400,1,5,2,99830.757,89,SF
2016001078812,27535,00500,1,1,0,21039.6004,12,SF
2016001078827,27536,00100,1,2,0,76322.2239,14,SF
2016001078836,27537,01105,1,1,1,43582.0294,4,SF
2016001078875,27538,00100,1,2,2,91243.165,6,SF
2016001078876,27539,01104,1,2,2,40619.31016,16,SF
2016001078879,27540,00704,1,4,1,42937.96,73,SF
2016001078919,27541,00200,1,2,1,44655.4784,21,SF
2016001079240,27542,00901,1,1,0,6548.0389,13,MH
2016001079279,27543,00500,1,2,0,25494.41375,14,SF
2016001079444,27544,01103,1,5,2,66553.838,11,SF
2016001079654,27545,01302,1,4,2,106056.7612,7,DUP
2016001079721,27546,01305,1,1,1,42937.96,13,DUP
2016001079816,27547,00300,1,1,0,39610.2681,12,SF
2016001079850,27548,01105,1,1,0,10090.4206,13,DUP
2016001079891,27549,01314,1,2,1,36604.6109,15,MF
2016001079984,27550,00100,1,2,2,81045.3995,11,SF
2016001080089,27551,01318,1,1,1,38644.164,38,MF
2016001080155,27552,00901,1,2,1,47768.4805,7,SF
2016001080213,27553,01104,1,2,0,29605.72342,14,SF
2016001080214,27554,00902,1,2,0,31881.4353,14,SF
2016001080371,27555,01302,1,4,3,143305.4415,12,SF
2016001080470,27556,01319,1,5,3,75678.1545,23,SF
2016001080517,27557,01324,1,1,1,51525.552,26,MF
2016001080555,27558,00800,1,3,2,30915.3312,75,DUP
2016001080653,27559,00300,1,3,0,29090.4679,21,SF
2016001080717,27560,00800,1,4,2,78147.0872,39,SF
2016001080816,27561,00800,1,4,4,157797.003,18,SF
2016001080924,27562,00901,1,2,0,93604.7528,26,SF
2016001080959,27563,00100,1,2,0,73745.9463,16,SF
2016001080970,27564,01322,1,1,0,7192.1083,7,DUP
2016001081034,27565,00800,1,3,2,91565.1997,10,SF
2016001081127,27566,01324,1,1,1,80508.675,11,SF
2016001081142,27567,00600,1,4,3,117650.0104,3,SF
2016001081170,27568,00800,1,1,0,19322.082,2,MH
2016001081235,27569,00300,1,1,1,62260.042,7,SF
2016001081619,27570,01318,1,1,0,40791.062,20,SF
2016001081670,27571,00902,1,2,0,12452.0084,16,SF
2016001081701,27572,01301,1,1,0,30056.572,13,SF
2016001081844,27573,00200,1,4,4,104124.553,40,SF
2016001082012,27574,00600,1,1,0,164667.0766,27,SF
2016001082048,27575,00703,1,3,0,20395.531,12,SF
2016001082154,27576,01104,1,1,0,0,19,MF
2016001082175,27577,01314,1,2,1,134181.125,17,MF
2016001082189,27578,00600,1,2,1,65147.61981,14,MF
2016001082583,27579,00703,1,3,2,113785.594,13,SF
2016001082646,27580,00703,1,4,2,173907.325592,15,SF
2016001082706,27581,00901,1,2,2,58073.5909,17,SF
2016001082778,27582,01103,1,8,4,97254.4794,13,MH
2016001082977,27583,00400,1,2,1,71599.0483,34,MF
2016001083031,27584,00500,1,3,2,107344.9,9,SF
2016001083060,27585,01301,1,2,0,2361.5878,17,SF
2016001083156,27586,01322,1,2,0,45621.5825,24,SF
2016001083168,27587,01301,1,2,2,38644.164,9,SF
2016001083182,27588,01305,1,3,2,122695.2207,17,SF
2016001083207,27589,01321,1,2,2,104124.553,23,MF
2016001083273,27590,01314,1,2,0,141052.272049,17,SF
2016001083363,27591,01321,1,2,0,43259.9947,6,SF
2016001083416,27592,01103,1,2,0,32203.47,35,MH
2016001083644,27593,00500,1,2,1,71921.083,11,SF
2016001083651,27594,01305,1,1,0,12881.388,28,DUP
2016001083665,27595,01317,1,4,1,80508.675,14,SF
2016001083714,27596,00901,1,1,1,55819.348,13,DUP
2016001083835,27597,00703,1,4,2,88022.818,15,SF
2016001083923,27598,01320,1,6,2,104124.553,24,SF
2016001083962,27599,00704,1,1,0,100474.8264,13,SF
2016001083980,27600,01302,1,3,1,41327.7865,28,SF
2016001083990,27601,01105,1,2,2,107344.9,9,SF
2016001084404,27602,01316,1,2,0,66983.2176,21,SF
2016001084469,27603,01000,1,2,0,55819.348,6,SF
2016001084501,27604,00704,1,1,0,20824.9106,16,SF
2016001084519,27605,01302,1,4,2,118079.39,21,SF
2016001084595,27606,01318,1,1,0,52813.6908,13,MF
2016001084631,27607,01314,1,2,1,64535.75388,12,MF
2016001084659,27608,00400,1,2,0,82011.5036,19,SF
2016001084774,27609,01322,1,2,2,150282.86,20,SF
2016001084965,27610,00400,1,2,0,97147.1345,21,SF
2016001085045,27611,01103,1,2,0,20288.1861,26,MH
2016001085068,27612,00705,1,2,1,41435.1314,5,MH
2016001085286,27613,01314,1,2,1,274802.944,26,SF
2016001085444,27614,01000,1,5,2,144915.615,13,SF
2016001085533,27615,00200,1,2,2,79005.8464,12,SF
2016001085607,27616,01103,1,4,2,66553.838,13,SF
2016001085682,27617,01200,1,1,0,27909.674,27,MF
2016001085777,27618,01105,1,3,1,71008.65135,3,SF
2016001085914,27619,01301,1,3,3,62260.042,13,SF
2016001086012,27620,01319,1,2,0,194294.269,20,SF
2016001086120,27621,00705,1,1,0,27480.2944,3,SF
2016001086165,27622,00200,1,3,0,97683.859,13,SF
2016001086257,27623,00600,1,2,2,73853.2912,5,SF
2016001086287,27624,00600,1,4,1,1084.18349,19,MF
2016001086323,27625,00100,1,2,0,168638.8379,26,SF
2016001086326,27626,00703,1,9,2,38966.1987,13,SF
2016001086505,27627,00902,1,2,2,51525.552,17,SF
2016001086515,27628,01314,1,1,1,45084.858,40,MF
2016001086600,27629,00800,1,2,0,28017.0189,11,MH
2016001086877,27630,01316,1,2,2,129887.329,23,SF
2016001086943,27631,01200,1,6,3,48949.2744,31,MH
2016001086944,27632,01321,1,1,0,0,41,MH
2016001086964,27633,01319,1,1,1,82655.573,2,SF
2016001087067,27634,00600,1,1,0,0,15,MF
2016001087069,27635,01320,1,7,3,264508.56809,13,SF
2016001087075,27636,00400,1,2,1,42562.25285,35,SF
2016001087093,27637,01303,1,1,1,53672.45,19,MF
2016001087145,27638,01314,1,2,1,157260.2785,25,SF
2016001087147,27639,01303,1,7,3,487667.8807,25,SF
2016001087239,27640,00800,1,2,1,304859.516,11,SF
2016001087879,27641,00200,1,4,3,112068.0756,9,MH
2016001087954,27642,01302,1,4,1,122212.16865,3,SF
2016001088032,27643,00200,1,4,3,71169.6687,7,SF
2016001088049,27644,00600,1,5,2,74604.7055,24,SF
2016001088213,27645,00703,1,2,2,27587.6393,12,SF
2016001088217,27646,01317,1,3,1,90169.716,15,SF
2016001088331,27647,01104,1,9,1,108418.349,23,SF
2016001088418,27648,00600,1,1,0,31881.4353,18,MF
2016001088614,27649,00400,1,2,0,270831.1827,7,SF
2016001088718,27650,01000,1,1,0,35531.1619,17,SF
2016001088891,27651,01321,1,3,2,168746.1828,12,SF
2016001088951,27652,01301,1,3,1,150282.86,12,SF
2016001089006,27653,00200,1,6,1,114322.3185,20,SF
2016001089010,27654,01324,1,1,0,375.70715,14,MF
2016001089187,27655,01318,1,1,0,269435.699,12,SF
2016001089441,27656,01104,1,2,2,202881.861,12,SF
2016001089446,27657,01104,1,2,0,88988.9221,16,SF
2016001089451,27658,00902,1,2,2,155650.105,18,SF
2016001089474,27659,01104,1,1,1,62270.77649,15,SF
2016001089539,27660,00800,1,2,1,85875.92,7,SF
2016001089663,27661,01305,1,2,2,116308.19915,22,MF
2016001089726,27662,01314,1,1,0,0,19,MF
2016001089892,27663,00704,1,3,3,87593.4384,17,MF
2016001089903,27664,00300,1,2,1,93712.0977,2,SF
2016001089939,27665,01321,1,3,3,636555.257,22,SF
2016001090156,27666,01317,1,4,3,86949.369,12,SF
2016001090174,27667,00800,1,2,2,63333.491,18,SF
2016001090341,27668,01302,1,2,2,174006.0829,21,SF
2016001090482,27669,01104,1,1,0,20610.2208,65,MF
2016001090585,27670,01317,1,2,0,38644.164,10,SF
2016001090592,27671,01200,1,2,1,181412.881,6,SF
2016001090732,27672,01324,1,4,2,209859.2795,24,SF
2016001090763,27673,00300,1,2,1,26771.81806,7,MH
2016001090838,27674,01104,1,1,0,40791.062,15,SF
2016001090851,27675,00902,1,2,2,38000.0946,21,SF
2016001090933,27676,00500,1,3,2,142768.717,25,SF
2016001091347,27677,00704,1,1,1,32203.47,13,MF
2016001091377,27678,01320,1,3,2,130960.778,7,SF
2016001091624,27679,00500,1,2,0,16101.735,4,MH
2016001091664,27680,00100,1,2,0,25440.7413,16,SF
2016001091668,27681,01314,1,4,3,64836.3196,13,MF
2016001092038,27682,01318,1,5,2,64192.2502,17,SF
2016001092095,27683,00400,1,2,1,450311.8555,48,SF
2016001092200,27684,00500,1,1,0,5474.5899,6,MH
2016001092234,27685,01302,1,2,1,55604.6582,11,SF
2016001092481,27686,00600,1,2,2,13954.837,6,SF
2016001092589,27687,01200,1,1,1,28875.7781,8,SF
2016001092620,27688,01322,1,1,1,27909.674,11,MH
2016001092629,27689,00705,1,2,1,89096.267,11,MH
2016001092769,27690,01000,1,2,0,87593.4384,30,SF
2016001092820,27691,01322,1,2,1,106271.451,12,SF
2016001092848,27692,01319,1,2,1,69774.185,32,SF
2016001092854,27693,01319,1,2,0,1105.65247,28,MF
2016001092859,27694,01324,1,4,2,446554.784,24,SF
2016001093161,27695,01104,1,1,1,34779.7476,29,MF
2016001093216,27696,01319,1,3,3,156727.847796,14,SF
2016001093274,27697,01324,1,2,2,58116.52886,33,MF
2016001093475,27698,00500,1,2,1,36239.63824,21,MH
2016001093524,27699,00300,1,1,0,4293.796,26,MF
2016001093578,27700,00704,1,1,0,21683.6698,19,SF
2016001093606,27701,01318,1,3,0,9446.3512,13,SF
2016001093701,27702,01320,1,2,1,32203.47,17,SF
2016001093967,27703,01317,1,3,3,230791.535,16,SF
2016001094085,27704,01301,1,1,1,37570.715,21,SF
2016001094152,27705,01103,1,4,4,130960.778,16,SF
2016001094164,27706,00100,1,3,1,109062.4184,10,SF
2016001094174,27707,01200,1,5,5,100045.4468,55,SF
2016001094187,27708,00800,1,3,0,40791.062,16,SF
2016001094281,27709,01301,1,4,2,478758.254,17,SF
2016001094300,27710,00400,1,1,1,32203.47,11,SF
2016001094403,27711,00500,1,1,0,21468.98,14,SF
2016001094409,27712,00100,1,2,1,82977.6077,9,SF
2016001094505,27713,01301,1,1,1,26836.225,12,MH
2016001094528,27714,01000,1,1,0,57322.1766,2,SF
2016001094655,27715,01314,1,3,2,129404.27695,15,SF
2016001094748,27716,01317,1,3,0,66628.97943,12,SF
2016001094869,27717,01301,1,2,2,145989.064,14,SF
2016001094951,27718,01305,1,1,1,306577.0344,22,MF
2016001095027,27719,01317,1,3,0,0,18,SF
2016001095054,27720,01323,1,3,0,254836.7926,22,SF
2016001095128,27721,00200,1,4,1,53672.45,7,SF
2016001095155,27722,00704,1,3,1,162090.799,21,SF
2016001095195,27723,01321,1,2,2,95000.2365,22,MF
2016001095318,27724,01301,1,1,0,1416.95268,13,MF
2016001095356,27725,01302,1,3,1,32203.47,14,SF
2016001095360,27726,00100,1,2,0,40039.6477,15,SF
2016001095379,27727,00703,1,4,3,161854.64022,41,SF
2016001095502,27728,01322,1,3,1,139548.37,10,MF
2016001095517,27729,01305,1,1,0,96073.6855,14,DUP
2016001095652,27730,00200,1,2,1,24689.327,7,SF
2016001095859,27731,00800,1,1,0,37570.715,64,SF
2016001096216,27732,01301,1,3,2,178407.2238,9,SF
2016001096221,27733,01105,1,2,1,43904.0641,27,MH
2016001096316,27734,00600,1,3,1,74282.6708,25,MH
2016001096387,27735,01000,1,2,0,26299.5005,1,SF
2016001096532,27736,01319,1,1,0,50022.7234,16,SF
2016001096599,27737,01105,1,3,2,54960.5888,14,MH
2016001096620,27738,00902,1,5,2,54209.1745,21,SF
2016001096704,27739,00500,1,2,0,59254.3848,11,SF
2016001096848,27740,01323,1,2,2,94463.512,22,SF
2016001096876,27741,00500,1,2,2,90277.0609,23,SF
2016001096915,27742,00100,1,1,1,118079.39,36,SF
2016001096953,27743,00500,1,2,2,82870.2628,9,DUP
2016001096994,27744,01105,1,2,1,144593.5803,15,MH
2016001097052,27745,01317,1,2,0,0,56,SF
2016001097105,27746,00500,1,1,1,64836.3196,44,MF
2016001097183,27747,01200,1,2,2,70847.634,7,MH
2016001097235,27748,01323,1,5,1,194294.269,24,SF
2016001097249,27749,01314,1,5,2,122426.85845,28,SF
2016001097262,27750,01322,1,4,1,438503.9165,25,SF
2016001097328,27751,00400,1,1,0,102514.3795,23,SF
2016001097367,27752,00100,1,2,0,60757.2134,16,SF
2016001097490,27753,01320,1,3,1,75141.43,12,MF
2016001097509,27754,01321,1,2,0,61186.593,12,SF
2016001097635,27755,01104,1,1,0,14169.5268,20,DUP
2016001097961,27756,00500,1,2,1,11163.8696,26,MH
2016001098079,27757,01319,1,1,1,21619.26286,23,SF
2016001098165,27758,01318,1,4,1,96610.41,13,SF
2016001098185,27759,01320,1,3,1,36926.6456,22,SF
2016001098217,27760,00600,1,4,2,139548.37,14,SF
2016001098229,27761,00800,1,2,0,36905.17662,23,SF
2016001098277,27762,01319,1,2,0,34565.0578,14,SF
2016001098282,27763,00400,1,1,1,94463.512,64,MF
2016001098293,27764,00500,1,1,0,23615.878,9,MF
2016001098311,27765,00703,1,1,1,32203.47,14,SF
2016001098415,27766,00703,1,3,1,49378.654,12,SF
2016001098512,27767,01105,1,2,1,72350.4626,16,MH
2016001098959,27768,01320,1,2,2,54531.2092,13,SF
2016001098963,27769,01302,1,2,2,121299.737,15,SF
2016001098997,27770,01200,1,2,2,139870.4047,18,SF
2016001099031,27771,01302,1,2,1,19107.3922,32,MF
2016001099244,27772,00100,1,1,1,16101.735,3,MH
2016001099318,27773,00704,1,2,2,130961.851449,9,SF
2016001099422,27774,00600,1,2,0,30915.3312,2,MH
2016001099450,27775,00902,1,3,1,58395.6256,29,SF
2016001099530,27776,01314,1,1,0,14598.9064,15,MF
2016001099617,27777,01200,1,2,1,39502.9232,26,SF
2016001099701,27778,00400,1,1,1,14813.5962,20,MF
2016001099705,27779,00800,1,1,1,82655.573,15,SF
2016001099775,27780,00500,1,2,1,53779.7949,11,SF
2016001099876,27781,01322,1,1,0,13632.8023,20,SF
2016001099963,27782,00300,1,4,2,43474.6845,20,SF
2016001100008,27783,01316,1,3,3,90384.4058,24,SF
2016001100159,27784,00600,1,2,0,37033.9905,19,SF
2016001100192,27785,01319,1,3,2,118401.4247,13,SF
2016001100272,27786,01318,1,2,1,69495.08826,16,MF
2016001100277,27787,01103,1,1,0,17175.184,13,MF
2016001100571,27788,00300,1,5,1,82913.20076,14,SF
2016001100617,27789,00100,1,1,0,47231.756,5,SF
2016001100720,27790,01200,1,1,0,966.1041,17,MF
2016001100723,27791,01104,1,2,2,104124.553,22,SF
2016001101189,27792,01324,1,1,1,39717.613,20,MF
2016001101190,27793,00200,1,2,0,35423.817,2,SF
2016001101265,27794,01321,1,6,2,119260.1839,7,SF
2016001101283,27795,00400,1,5,2,187531.5403,48,SF
2016001101359,27796,00100,1,1,0,12344.6635,11,SF
2016001101394,27797,01317,1,4,1,48412.5499,20,SF
2016001101407,27798,01314,1,3,2,319887.802,10,SF
2016001101414,27799,00200,1,2,0,23293.8433,11,DUP
2016001101627,27800,00100,1,1,0,77185.276896,30,DUP
2016001101647,27801,00500,1,1,0,60327.8338,7,SF
2016001101852,27802,00400,1,3,1,435820.294,8,SF
2016001101872,27803,00400,1,1,0,21361.6351,21,MF
2016001101955,27804,01321,1,2,0,70418.2544,11,SF
2016001102037,27805,01316,1,4,1,75141.43,24,SF
2016001102065,27806,01103,1,3,2,199661.514,81,MF
2016001102139,27807,01104,1,2,2,49378.654,14,MF
2016001102144,27808,00705,1,2,2,196441.167,20,SF
2016001102193,27809,01301,1,1,0,24689.327,15,SF
2016001102292,27810,01324,1,2,2,258915.8988,25,SF
2016001102443,27811,00100,1,3,3,167028.6644,36,SF
2016001102555,27812,00300,1,5,3,119796.9084,7,SF
2016001102604,27813,01200,1,4,2,69774.185,15,SF
2016001103063,27814,01324,1,3,1,21683.6698,21,SF
2016001103085,27815,01319,1,2,0,71169.6687,12,SF
2016001103095,27816,01316,1,3,2,223281.685796,31,SF
2016001103200,27817,01322,1,2,1,94570.8569,20,SF
2016001103235,27818,01302,1,1,1,62260.042,14,SF
2016001103247,27819,01314,1,2,1,150282.86,10,MF
2016001103266,27820,00500,1,4,1,81582.124,12,SF
2016001103387,27821,01320,1,4,2,96610.41,14,SF
2016001103459,27822,01301,1,5,2,83729.022,78,SF
2016001103546,27823,01105,1,1,0,37463.3701,24,SF
2016001103596,27824,01301,1,2,2,67090.5625,67,SF
2016001103814,27825,01303,1,1,1,48305.205,25,MF
2016001103956,27826,01321,1,4,1,68700.736,17,SF
2016001104069,27827,01323,1,2,2,60113.144,14,MF
2016001104095,27828,00200,1,2,0,79649.9158,14,SF
2016001104186,27829,00703,1,2,0,65480.389,12,SF
2016001104195,27830,01314,1,2,2,187424.1954,12,SF
2016001104364,27831,01104,1,2,1,13418.1125,28,DUP
2016001104430,27832,00705,1,4,1,119045.4941,12,SF
2016001104572,27833,01200,1,2,0,65587.7339,18,SF
2016001104652,27834,00300,1,2,1,49378.654,22,SF
2016001104937,27835,00500,1,1,1,48949.2744,3,SF
2016001105006,27836,00705,1,3,3,76751.6035,7,SF
2016001105017,27837,00600,1,2,0,44226.0988,22,SF
2016001105079,27838,01321,1,4,1,213831.0408,12,SF
2016001105146,27839,01316,1,1,0,77288.328,18,SF
2016001105279,27840,00901,1,2,0,39073.5436,16,SF
2016001105313,27841,00600,1,5,1,29197.8128,8,SF
2016001105584,27842,00500,1,4,2,51096.1724,6,SF
2016001105672,27843,00400,1,2,2,51954.9316,11,MH
2016001105733,27844,01105,1,2,2,110565.247,10,SF
2016001105777,27845,01322,1,2,2,55776.41004,18,MF
2016001105803,27846,01305,1,4,4,280170.189,15,SF
2016001105974,27847,00500,1,3,2,47231.756,11,SF
2016001106136,27848,00800,1,2,0,61122.18606,23,MH
2016001106172,27849,00703,1,2,2,57858.9011,51,MF
2016001106217,27850,01302,1,3,1,59039.695,12,SF
2016001106234,27851,01319,1,3,3,294125.026,13,SF
2016001106273,27852,01302,1,6,2,108847.7286,34,SF
2016001106293,27853,00600,1,2,1,33276.919,21,SF
2016001106315,27854,01305,1,2,0,9446.3512,15,SF
2016001106373,27855,00703,1,3,3,32310.8149,47,MF
2016001106404,27856,01322,1,2,2,228644.637,13,MF
2016001106416,27857,01320,1,2,0,18635.07464,23,MH
2016001106421,27858,01318,1,2,0,461.58307,14,SF
2016001106550,27859,01323,1,2,0,48197.8601,22,SF
2016001106580,27860,00902,1,2,0,128491.8453,16,SF
2016001106610,27861,00600,1,4,2,51310.8622,14,MH
2016001106767,27862,01318,1,4,1,39932.3028,33,MH
2016001106820,27863,00600,1,6,1,68700.736,9,SF
2016001106919,27864,01321,1,6,3,572148.317,25,SF
2016001106922,27865,01301,1,2,0,7192.1083,9,SF
2016001107079,27866,01322,1,4,2,107344.9,37,SF
2016001107081,27867,01319,1,3,2,907064.405,4,SF
2016001107115,27868,01314,1,1,0,21683.6698,8,SF
2016001107142,27869,00600,1,1,1,25870.1209,3,SF
2016001107174,27870,00703,1,5,1,39073.5436,17,SF
2016001107244,27871,00300,1,1,1,26836.225,3,SF
2016001107295,27872,01301,1,5,4,174542.8074,20,SF
2016001107338,27873,00200,1,2,2,19322.082,5,SF
2016001107581,27874,01105,1,3,0,13096.0778,12,SF
2016001107599,27875,01322,1,2,2,69774.185,16,MF
2016001107600,27876,01305,1,2,0,89096.267,13,SF
2016001107624,27877,01200,1,2,1,26621.5352,20,MH
2016001107659,27878,01322,1,3,1,75141.43,14,SF
2016001107713,27879,01320,1,2,1,63440.8359,19,SF
2016001107786,27880,01303,1,2,1,105090.6571,15,SF
2016001107788,27881,01317,1,2,1,13954.837,16,SF
2016001107845,27882,01324,1,5,1,114859.043,12,SF
2016001107935,27883,00300,1,2,2,18785.3575,24,MH
2016001107979,27884,00500,1,4,2,73273.62874,11,SF
2016001108192,27885,00200,1,1,0,12988.7329,1,SF
2016001108253,27886,00200,1,2,2,118079.39,21,MH
