geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_20_control,hh_inc_21_40_control,hh_inc_41_60_control,hh_inc_61_75_control,hh_inc_76_100_control,hh_inc_100_plus_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_20_result,hh_inc_21_40_result,hh_inc_41_60_result,hh_inc_61_75_result,hh_inc_76_100_result,hh_inc_100_plus_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_20_diff,hh_inc_21_40_diff,hh_inc_41_60_diff,hh_inc_61_75_diff,hh_inc_76_100_diff,hh_inc_100_plus_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff
BG,D410290016012,522,182,265,68,7,146,146,148,48,34,0,960,886,0,22,0,0,0,52,53,0,142,74,256,435,522,181,266,68,7,145,146,149,48,34,0,957,882,0,23,0,0,0,52,52,0,140,74,256,434,0,-1,1,0,0,-1,0,1,0,0,0,-3,-4,0,1,0,0,0,0,-1,0,-2,0,0,-1
BG,D410290016021,540,155,220,63,102,99,39,97,79,72,154,1426,1379,0,0,41,0,0,6,207,104,71,441,379,224,540,154,220,63,103,99,39,97,79,71,155,1399,1353,0,0,40,0,0,6,200,104,68,428,371,219,0,-1,0,0,1,0,0,0,0,-1,1,-27,-26,0,0,-1,0,0,0,-7,0,-3,-13,-8,-5
BG,D410290016022,796,378,142,128,148,273,202,134,88,12,87,1809,1175,0,0,58,0,443,133,367,106,73,541,362,360,796,378,142,128,148,271,200,133,88,18,86,1830,1197,0,0,59,0,438,136,359,105,85,527,351,351,0,0,0,0,0,-2,-2,-1,0,6,-1,21,22,0,0,1,0,-5,3,-8,-1,12,-14,-11,-9
BG,D410290016023,238,21,169,24,24,68,54,7,0,28,81,535,502,0,0,0,0,0,33,73,13,46,113,181,109,238,21,170,23,24,68,54,7,0,26,83,545,514,0,0,0,0,0,31,70,13,43,117,188,114,0,0,1,-1,0,0,0,0,0,-2,2,10,12,0,0,0,0,0,-2,-3,0,-3,4,7,5
BG,D410290016024,447,112,210,93,32,79,30,102,37,46,153,1076,1076,0,0,0,0,0,0,177,57,15,238,340,249,447,111,210,94,32,79,30,102,37,45,154,1057,1057,0,0,0,0,0,0,171,58,14,234,333,242,0,-1,0,1,0,0,0,0,0,-1,1,-19,-19,0,0,0,0,0,0,-6,1,-1,-4,-7,-7
BG,D410290016025,924,372,337,58,157,235,247,167,70,128,77,2021,1768,0,0,22,0,29,202,274,264,161,489,385,448,924,376,337,58,153,235,248,167,71,125,78,2077,1820,0,0,23,0,34,200,275,270,154,509,401,463,0,4,0,0,-4,0,1,0,1,-3,1,56,52,0,0,1,0,5,-2,1,6,-7,20,16,15
BG,D410290017001,503,150,259,68,26,109,59,216,0,68,51,1211,1104,3,13,19,0,7,65,76,49,120,360,283,323,503,146,258,70,29,109,58,216,0,68,52,1124,1022,3,13,19,0,6,61,92,46,107,323,257,295,0,-4,-1,2,3,0,-1,0,0,0,1,-87,-82,0,0,0,0,-1,-4,16,-3,-13,-37,-26,-28
BG,D410290017002,1003,264,371,234,134,228,266,163,135,100,111,2346,2296,0,0,13,0,14,23,484,136,261,746,505,214,1003,266,371,233,133,229,266,162,135,101,110,2406,2349,0,0,13,0,20,24,476,139,269,766,519,222,0,2,0,-1,-1,1,0,-1,0,1,-1,60,53,0,0,0,0,6,1,-8,3,8,20,14,8
BG,D410290017003,359,189,147,23,0,85,150,56,28,40,0,563,553,0,10,0,0,0,0,13,0,0,108,131,311,359,189,146,24,0,85,150,56,28,40,0,553,542,0,11,0,0,0,0,11,0,0,106,129,307,0,0,-1,1,0,0,0,0,0,0,0,-10,-11,0,1,0,0,0,0,-2,0,0,-2,-2,-4
BG,D410290017004,1483,541,512,158,272,640,258,225,101,70,189,3291,2996,2,10,109,0,80,94,702,215,314,879,497,684,1483,546,511,157,269,639,259,225,101,70,189,3377,3073,3,11,112,0,80,98,689,221,324,902,511,708,0,5,-1,-1,-3,-1,1,0,0,0,0,86,77,1,1,3,0,0,4,-13,6,10,23,14,24
BG,D410290018001,701,250,215,87,149,78,127,82,124,154,136,1633,1622,0,0,0,0,0,11,241,177,25,484,486,220,701,250,217,87,147,78,126,82,124,155,136,1622,1612,0,0,0,0,0,10,254,187,28,469,468,213,0,0,2,0,-2,0,-1,0,0,1,0,-11,-10,0,0,0,0,0,-1,13,10,3,-15,-18,-7
BG,D410290018002,1087,374,372,197,144,105,68,179,181,222,332,2490,2248,0,0,134,0,0,108,205,64,160,538,553,970,1087,374,375,196,142,106,68,179,180,221,333,2452,2211,0,0,134,0,0,107,222,70,181,513,523,923,0,0,3,-1,-2,1,0,0,-1,-1,1,-38,-37,0,0,0,0,0,-1,17,6,21,-25,-30,-47
BG,D410290018003,1311,462,525,233,91,479,202,160,137,96,237,2734,2557,0,0,45,0,80,52,526,118,246,595,648,601,1311,464,524,231,92,478,201,160,139,96,237,2815,2632,0,0,48,0,79,56,491,113,249,629,682,635,0,2,-1,-2,1,-1,-1,0,2,0,0,81,75,0,0,3,0,-1,4,-35,-5,3,34,34,34
BG,D410290018004,824,273,444,88,19,333,178,85,134,47,47,1586,1410,0,34,0,0,41,101,120,82,507,210,292,375,824,274,442,88,20,332,178,85,135,47,47,1612,1435,0,34,0,0,41,102,118,76,489,222,306,394,0,1,-2,0,1,-1,0,0,1,0,0,26,25,0,0,0,0,0,1,-2,-6,-18,12,14,19
BG,D410290019001,601,223,189,81,108,148,243,98,37,5,70,1636,1411,2,35,71,0,30,87,170,241,635,337,145,108,601,223,190,82,106,152,235,95,38,7,74,1683,1458,8,31,70,0,25,91,192,260,603,361,157,109,0,0,1,1,-2,4,-8,-3,1,2,4,47,47,6,-4,-1,0,-5,4,22,19,-32,24,12,1
BG,D410290019002,296,102,109,39,46,112,26,36,25,22,75,1252,1058,101,8,36,0,0,49,46,250,317,346,165,128,296,86,102,41,67,109,31,42,25,20,69,915,769,83,8,25,0,0,30,79,164,216,237,119,100,0,-16,-7,2,21,-3,5,6,0,-2,-6,-337,-289,-18,0,-11,0,0,-19,33,-86,-101,-109,-46,-28
BG,D410290020001,712,294,296,64,58,125,189,151,82,64,101,1343,1314,0,0,15,0,0,14,118,55,271,414,248,237,712,295,294,64,59,125,189,151,82,64,101,1358,1328,0,0,15,0,0,15,120,57,275,417,249,236,0,1,-2,0,1,0,0,0,0,0,0,15,14,0,0,0,0,0,1,2,2,4,3,1,-1
BG,D410290020002,506,263,139,74,30,130,93,100,32,69,82,927,886,0,0,13,0,0,28,55,63,164,183,263,199,506,263,139,74,30,130,92,101,32,69,82,933,890,0,0,14,0,0,29,55,64,165,182,263,200,0,0,0,0,0,0,-1,1,0,0,0,6,4,0,0,1,0,0,1,0,1,1,-1,0,1
BG,D410290021001,926,406,327,66,127,165,229,165,55,79,233,1907,1791,0,4,76,0,0,36,288,50,260,321,481,507,926,406,326,66,128,165,229,166,54,79,233,1925,1802,0,4,77,0,2,40,293,52,264,320,479,505,0,0,-1,0,1,0,0,1,-1,0,0,18,11,0,0,1,0,2,4,5,2,4,-1,-2,-2
BG,D410290021002,460,289,89,52,30,141,89,81,42,20,87,783,656,80,0,0,0,42,5,140,33,73,132,211,194,460,289,89,52,30,141,89,81,42,20,87,794,670,82,0,0,0,38,4,138,33,75,134,215,195,0,0,0,0,0,0,0,0,0,0,0,11,14,2,0,0,0,-4,-1,-2,0,2,2,4,1
BG,D410290021003,428,184,212,0,32,84,41,62,25,62,154,761,739,0,0,22,0,0,0,78,22,30,157,222,252,428,184,211,0,33,84,41,62,25,62,154,772,750,0,0,22,0,0,0,80,23,31,160,224,253,0,0,-1,0,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,2,1,1,3,2,1
BG,D410290022001,315,50,223,24,18,27,39,71,11,46,121,664,640,0,0,24,0,0,0,43,40,78,93,132,278,315,50,222,25,18,27,40,70,10,46,122,666,641,0,0,24,0,0,1,42,41,80,94,130,277,0,0,-1,1,0,0,1,-1,-1,0,1,2,1,0,0,0,0,0,1,-1,1,2,1,-2,-1
BG,D410290022002,725,379,158,88,100,270,73,28,67,74,213,1436,1384,43,0,0,0,0,9,167,44,523,237,240,225,725,378,159,88,100,270,74,28,66,74,213,1443,1388,43,0,1,0,0,11,168,44,528,235,241,224,0,-1,1,0,0,0,1,0,-1,0,0,7,4,0,0,1,0,0,2,1,0,5,-2,1,-1
BG,D410290022003,474,122,211,78,63,35,68,78,45,44,204,1016,865,63,0,0,0,0,88,109,120,32,195,338,222,474,123,211,78,62,35,68,77,45,44,205,1040,900,66,0,2,0,0,72,109,123,33,199,344,228,0,1,0,0,-1,0,0,-1,0,0,1,24,35,3,0,2,0,0,-16,0,3,1,4,6,6
BG,D410290022004,674,337,175,120,42,116,185,102,103,0,168,1245,1172,35,0,38,0,0,0,210,37,82,208,382,326,674,338,174,120,42,117,186,101,102,0,168,1249,1164,35,0,37,0,0,13,207,36,92,209,377,326,0,1,-1,0,0,1,1,-1,-1,0,0,4,-8,0,0,-1,0,0,13,-3,-1,10,1,-5,0
BG,D410290023001,294,62,167,46,19,75,35,37,20,64,63,645,589,0,11,0,0,0,45,19,25,41,96,257,207,294,63,167,45,19,75,35,37,20,64,63,682,626,0,13,0,0,0,43,68,25,41,94,251,203,0,1,0,-1,0,0,0,0,0,0,0,37,37,0,2,0,0,0,-2,49,0,0,-2,-6,-4
BG,D410290023002,391,99,188,61,43,52,91,55,39,69,85,934,909,0,0,0,0,25,0,151,35,49,164,262,273,391,98,188,62,43,52,91,55,39,69,85,908,884,0,0,0,0,24,0,99,36,49,165,266,281,0,-1,0,1,0,0,0,0,0,0,0,-26,-25,0,0,0,0,-1,0,-52,1,0,1,4,8
BG,D410290024001,378,114,160,49,55,43,121,52,43,34,85,956,919,6,0,7,0,24,0,65,83,115,176,261,256,378,113,159,49,57,43,121,51,43,35,85,932,892,7,0,7,0,22,4,70,85,113,168,247,240,0,-1,-1,0,2,0,0,-1,0,1,0,-24,-27,1,0,0,0,-2,4,5,2,-2,-8,-14,-16
BG,D410290024002,435,85,241,59,50,91,98,37,43,37,129,1046,903,8,0,12,0,0,123,169,94,56,205,256,266,435,86,241,59,49,91,96,38,43,38,129,1088,943,7,0,13,0,1,124,167,94,61,215,269,281,0,1,0,0,-1,0,-2,1,0,1,0,42,40,-1,0,1,0,1,1,-2,0,5,10,13,15
BG,D410290025001,538,149,264,72,53,58,35,41,92,82,230,1198,1167,11,8,12,0,0,0,112,54,79,204,423,326,538,145,263,73,57,58,35,41,92,82,230,1118,1087,11,8,12,0,0,0,105,51,74,190,388,299,0,-4,-1,1,4,0,0,0,0,0,0,-80,-80,0,0,0,0,0,0,-7,-3,-5,-14,-35,-27
BG,D410290025003,284,63,126,37,58,33,93,0,27,41,90,735,714,21,0,0,0,0,0,146,61,42,152,208,126,284,61,124,38,61,33,92,0,28,41,90,667,648,19,0,0,0,0,0,132,57,38,138,187,113,0,-2,-2,1,3,0,-1,0,1,0,0,-68,-66,-2,0,0,0,0,0,-14,-4,-4,-14,-21,-13
BG,D410290030011,405,23,262,60,60,30,52,97,77,49,100,1019,1019,0,0,0,0,0,0,118,53,114,157,281,296,405,23,262,60,60,29,51,97,77,50,101,967,967,0,0,0,0,0,0,120,55,108,136,254,267,0,0,0,0,0,-1,-1,0,0,1,1,-52,-52,0,0,0,0,0,0,2,2,-6,-21,-27,-29
